""	"SRR18920974"	"SRR18920975"	"SRR18920976"	"SRR18920977"	"SRR18920978"	"SRR18920979"	"SRR18920980"	"SRR18920981"
"ZZEF1"	12.1135486174626	12.1383956565376	11.7094366751189	11.6604968724506	12.4372973381683	12.4290177627521	11.9043364957187	11.8924354806323
"ZW10"	11.1178620374389	11.2238734559445	11.4957214964204	11.51756454781	11.0959937665226	11.2021295716219	11.804392380891	11.6283640964482
"ZUP1"	9.88424043045488	9.7388581862443	10.0516436054507	10.0740298987539	9.74292175180955	9.78385660769098	10.2829666383213	10.179854817792
"ZSCAN1"	6.4396418024341	6.63834344972366	6.16938647258615	6.40685392630337	6.54293861081639	6.70917459302751	6.10308586226335	6.05900493125373
"ZP3"	8.62371169595389	8.6734876137685	8.91872675064718	8.83375439330447	8.53391814143095	8.6265072398618	8.70842373167168	8.87979053300726
"ZNRF2"	8.95065251551931	8.84224939279707	9.49201803529795	9.567597131948	9.17124263002625	9.26563580626697	9.64154729526072	9.62733191364032
"ZNG1B"	10.6006046178224	10.5452591977804	10.7418101300478	10.7685043405208	10.6372407296555	10.6803484777025	10.8246418355436	10.7911503341226
"ZNF841"	9.69874360181976	9.78894502902676	9.1784953770472	9.19319978385934	9.50077217324963	9.52290546142913	9.23665380115667	9.32207775114249
"ZNF790-AS1"	7.61143548200872	7.56354856761395	6.88033040199634	7.02546060240613	7.244322590327	7.05319834441573	6.72860364778716	6.58994935208744
"ZNF772"	6.9909194110454	6.97948887134115	6.60333781921732	6.74890658083122	6.98173068026307	7.05383331306926	6.75649613939973	6.66816204177602
"ZNF71"	9.40611190500279	9.35603836825417	8.54493607471407	8.72020229853594	8.79972816551718	8.74852334641686	8.23919903250731	8.12419748613309
"ZNF675"	9.55013450405717	9.48632796705986	9.90357024369132	9.92000323365905	9.76940695797451	9.61896426678785	10.3761964706242	10.2070518155844
"ZNF616"	9.62903152107513	9.61470839681124	9.10973564904466	8.98775093130921	9.69699254989644	9.68981774128362	9.42604488815832	9.34492687498605
"ZNF613"	7.95539760650672	8.06665612647659	7.46819974095211	7.7411376796833	8.03106140443764	8.21304956192772	7.73055097320384	7.72043502441194
"ZNF610"	8.4153474410693	8.39151846977125	7.62212849441257	7.82784777988028	7.92458337101664	8.10210780732169	7.51409492871336	7.6335110499537
"ZNF609"	12.2895964142858	12.2649823612397	11.8548617736469	11.7973965779988	12.1136804894381	12.1792050546896	11.718630913332	11.7391938241238
"ZNF605"	9.862656425646	9.85776364392031	9.30992972579495	9.23346851894345	9.83424537568514	9.701458051991	9.13442060690004	9.38974383296217
"ZNF585A"	9.16551343520566	9.14979480533223	8.6090147162819	8.69352966819248	9.06401314012847	9.00594679366395	8.7086306323923	8.61720549283637
"ZNF575"	5.33144782630452	5.05751309075875	4.92079400523489	4.93609291067575	5.44632483000786	5.4358670550407	4.93565223136536	4.99844808670159
"ZNF561"	11.027470026013	10.9568640143677	10.5542829177869	10.5176261391111	10.9607666258092	10.9278566581868	10.7488375551802	10.7206069787404
"ZNF512B"	10.5675903189976	10.5520433675775	10.2940990706351	10.3883219854748	10.7245282250299	10.7334871284365	10.2490488656456	10.2737578321768
"ZNF512"	9.93833659413104	10.0381641319175	9.66055122379138	9.5931740188931	10.1149929990326	10.0895563192733	9.87605538478499	9.79402281250463
"ZNF503"	9.73738980574545	9.78470190762459	9.20639011564912	9.3434244907781	9.79466772291764	9.74074094674405	9.54849271264637	9.49795202144743
"ZNF451"	11.5472912540298	11.4756780450394	11.4058640142996	11.3589699212215	11.4990475096607	11.4893891497426	11.3289668188128	11.2785065304881
"ZNF439"	8.934942755376	9.10143456007099	8.50344929355943	8.54652839991181	9.05751365149887	8.75979739713381	8.74250734453661	8.71858588643048
"ZNF426"	10.2930806828311	10.2758466281891	9.9157512970337	9.96574576881115	10.1836143332793	10.2728686551776	10.133809182243	9.91482001931383
"ZNF419"	9.20124406129849	9.43727854360921	8.72152954849744	8.87543704072475	8.83102251276646	9.05378555493417	8.57511881253753	8.57721137546148
"ZNF417"	9.34499356023356	9.17868654867164	8.7982947794512	8.62777058770121	8.99759435316897	9.02497180471733	8.90432652847619	8.78140451874216
"ZNF385D"	6.54588786724222	6.51910263699052	6.91855486830425	6.79016303956615	6.17375896139772	6.27728329412829	6.66547400633983	6.82106127717572
"ZNF367"	10.4370015925979	10.4083849157848	11.5870635204364	11.4898314158412	10.1022323431272	10.141456339942	11.1525164101045	11.0935395711696
"ZNF362"	10.714468356961	10.8299922599187	9.78876433145111	9.93200752080121	10.5384651523243	10.5434681204205	9.9788122462111	9.91224244662436
"ZNF358"	10.4412080764637	10.5847825864062	10.2034291108046	10.3285912678708	10.5425058004593	10.494766064669	9.99025417403163	9.87702383977163
"ZNF350"	8.46699016784762	8.39676848787583	8.05178278605958	7.96930752900894	8.29471623486342	8.22666813886459	7.78961127557344	7.95660664292784
"ZNF33B"	10.6230748417186	10.5660057371306	10.0989193700668	10.1788175436087	10.3494599074491	10.419297568703	10.1613798901139	10.167647217365
"ZNF333"	8.50728051226178	8.59248639590007	8.91944144045903	8.95689942134153	8.70353870078308	8.77898409930396	9.0047129477178	8.90089143421246
"ZNF329"	9.4746369353861	9.43748919629818	8.98187759680288	9.0367378261579	9.32126792902756	9.26131225224944	8.91333507199686	9.10375846727612
"ZNF322"	10.132892844521	10.2523859408333	9.75470642936614	9.67370231512357	10.0754691613574	10.1007522453097	9.91457061609829	9.83065686771535
"ZNF304"	9.55459007525515	9.67578416563006	9.20027941647053	9.27865603791564	9.38506867417107	9.43685910307145	9.28525005508869	9.20615929631473
"ZNF273"	8.75722213189263	8.89278479507148	9.45407492954079	9.39932012541398	8.0872478618409	8.21899188449664	9.26383826254017	9.18834321968375
"ZNF268"	10.6144444360794	10.7354817822598	10.1205503857065	10.1370246150349	10.4010794697532	10.5034449481355	10.1976402352499	10.2058942538296
